category_id;answers;languages_id
4;Yes, you can email us.;1
4;Our email: info@shop.ru;1
4;Yes, we respond via popular messengers.;1
4;WhatsApp and Telegram are available.;1
4;Yes, we are on Instagram and Facebook.;1
4;Social media links are at the bottom of the website.;1
4;Yes, you can get a consultation via WhatsApp.;1
4;Yes, we respond on Telegram.;1
4;Yes, we have an office.;1
4;Office address is listed on the website.;1
4;Yes, you can visit us in person.;1
4;No appointment is required, but we recommend notifying us in advance.;1
4;Yes, we have a wholesale department.;1
4;For claims, email support@shop.ru;1
4;We respond within 24 hours.;1
4;Yes, there is a feedback form on the website.;1
4;Yes, you can request a callback.;1
4;Callback within 15 minutes.;1
4;No, we do not operate at night.;1
4;Yes, we offer VIP service.;1
4;Yes, direct contact is possible.;1
4;Email the director at director@shop.ru;1
4;Yes, we have a partnership department.;1
4;Yes, we accept collaboration proposals.;1
4;For press inquiries, email press@shop.ru;1
4;We respond on social media within 1–2 hours.;1
1;Ми пропонуємо широкий асортимент товарів у різних категоріях.;2
1;Асортимент оновлюється щотижня.;2
1;Новинки з’являються приблизно 2–3 рази на тиждень.;2
1;Так, ми регулярно проводимо акції та надаємо знижки.;2
1;Про нові надходження можна дізнатися в розділі «Новинки» або підписавшись на нашу розсилку.;2
1;Так, ви можете оформити замовлення без реєстрації.;2
1;Ні, реєстрація не є обов’язковою, але вона дає додаткові бонуси.;2
1;Змінити дані можна в особистому кабінеті в розділі «Профіль».;2
1;Так, ви можете оформити замовлення телефоном.;2
1;Так, у нас є мобільний додаток для iOS та Android.;2
1;Так, ми можемо зарезервувати товар на обмежений час.;2
1;Наявність товару вказана на сторінці товару.;2
1;Розмір і колір можна обрати в параметрах товару перед оформленням.;2
1;Так, на всі товари надається гарантія залежно від виробника.;2
1;У нашому каталозі представлені як світові, так і локальні бренди.;2
1;Так, можна оформити замовлення як подарунок.;2
1;Так, у нас є послуга подарункового пакування.;2
1;Так, ми пропонуємо програму лояльності з бонусами.;2
1;Бонуси нараховуються за покупки та участь в акціях.;2
1;Бонуси можна використовувати навіть під час розпродажу, якщо не зазначено інше.;2
1;Так, ви можете скасувати замовлення, поки воно не відправлене.;2
1;Зв’яжіться з підтримкою для внесення змін до замовлення.;2
1;Так, якщо обидва замовлення ще не відправлені.;2
1;Так, ми надаємо інструкції та рекомендації.;2
1;Так, можна оформити попереднє замовлення на відсутній товар.;2
1;Так, ми надаємо можливість перегляду товару в шоурумі.;2
1;Так, ми працюємо з оптовими клієнтами.;2
1;Ви можете отримати консультацію через чат або телефоном.;2
1;Обмін без чека можливий лише за умови збереження ярликів і пакування.;2
1;Так, ми ведемо сторінки в соцмережах з актуальною інформацією.;2
2;Ми пропонуємо доставку кур’єром, поштою та до пунктів видачі.;2
2;Так, доступна доставка кур’єром.;2
2;Вартість залежить від регіону та ваги замовлення.;2
2;Безкоштовна доставка доступна за умовами акції.;2
2;Безкоштовна доставка при замовленні від 3000 грн.;2
2;Спосіб доставки обирається на етапі оформлення замовлення.;2
2;Доставляємо по всій країні.;2
2;Так, можлива міжнародна доставка.;2
2;Термін залежить від регіону та обраного способу доставки.;2
2;Так, можна обрати зручну дату та час.;2
2;Можлива експрес-доставка за додаткову плату.;2
2;Відстежити замовлення можна за трек-номером в особистому кабінеті.;2
2;Зв’яжіться з підтримкою для уточнення причин затримки.;2
2;Так, можна змінити адресу до передачі замовлення на доставку.;2
2;Так, доставка можлива до пунктів видачі.;2
2;Ми співпрацюємо з кількома транспортними компаніями.;2
2;Так, доставка доступна у вихідні.;2
2;Можливе повторне замовлення у разі втрати на пункті видачі.;2
2;Так, можлива доставка до поштового відділення.;2
2;Так, доступна післяплата.;2
2;Так, доступний самовивіз.;2
2;Адресу пункту самовивозу вказано на сайті.;2
2;Так, ми працюємо у святкові дні.;2
2;Зв’яжіться з підтримкою для перенесення часу доставки.;2
2;Так, перевірка товару можлива при отриманні.;2
2;Повернення можна оформити через службу доставки.;2
2;Так, перед відправкою можемо зробити фото пакування.;2
2;Так, ми доставляємо великогабаритні замовлення.;2
2;Так, є послуга експрес-доставки.;2
2;Так, можна об’єднати кілька замовлень в одну доставку.;2
3;Приймаємо оплату картками, переказами та електронними системами.;2
3;Так, приймаємо картки Visa та MasterCard.;2
3;Так, приймаємо PayPal.;2
3;Так, доступна оплата через Apple Pay та Google Pay.;2
3;Так, можлива оплата при отриманні.;2
3;Комісія залежить від банку або платіжної системи.;2
3;Так, можлива безготівкова оплата для юридичних осіб.;2
3;Оплата банківським переказом можлива за реквізитами.;2
3;Так, ми пропонуємо розстрочку.;2
3;Так, співпрацюємо з банками для оформлення кредиту.;2
3;Так, можна оплатити частково бонусами.;2
3;Чек надсилається на e-mail після оплати.;2
3;Зв’яжіться з банком або підтримкою, якщо оплата не пройшла.;2
3;Так, спосіб оплати можна змінити до відправлення замовлення.;2
3;Так, ви можете оплатити за іншу особу.;2
3;Так, ми приймаємо деякі криптовалюти.;2
3;Так, можлива оплата через термінал.;2
3;Так, приймаємо подарункові картки.;2
3;Введіть промокод у спеціальне поле при оплаті.;2
3;Зазвичай підтвердження проходить за кілька хвилин.;2
3;Так, ми повертаємо кошти при скасуванні замовлення.;2
3;Термін повернення залежить від банку (1–7 днів).;2
3;Кошти повертаються на ту ж картку.;2
3;Зв’яжіться з підтримкою для вирішення ситуації.;2
3;Так, можлива часткова оплата.;2
3;Так, приймаємо іноземну валюту.;2
4;Ви можете зв’язатися з нами телефоном, e-mail або в чаті.;2
4;Так, у нас є гаряча лінія підтримки.;2
4;Підтримка працює з 9:00 до 21:00.;2
4;Так, на сайті є онлайн-чат.;2
4;Так, ви можете написати нам на e-mail.;2
4;Наш e-mail: info@shop.ru;2
4;Так, ми відповідаємо в популярних месенджерах.;2
4;Доступні WhatsApp і Telegram.;2
4;Так, ми є в Instagram і Facebook.;2
4;Посилання на соцмережі — внизу сайту.;2
4;Так, консультацію можна отримати в WhatsApp.;2
4;Так, відповідаємо в Telegram.;2
4;Так, у нас є офіс.;2
4;Адресу офісу вказано на сайті.;2
4;Так, ви можете приїхати особисто.;2
4;Запис не обов’язковий, але бажано попередити.;2
4;Так, є відділ роботи з оптом.;2
4;Пишіть у відділ рекламацій на e-mail support@shop.ru;2
4;Відповідаємо протягом 24 годин.;2
4;Так, на сайті є форма зворотного зв’язку.;2
4;Так, можна замовити зворотний дзвінок.;2
4;Зворотний дзвінок протягом 15 хвилин.;2
4;Ні, вночі ми не працюємо.;2
4;Так, є окреме VIP-обслуговування.;2
4;Так, можна зв’язатися напр;2
1;Мы предлагаем широкий ассортимент товаров в разных категориях.;3
1;Ассортимент обновляется каждую неделю.;3
1;Новинки появляются примерно 2-3 раза в неделю.;3
1;Да, у нас регулярно проводятся акции и скидки.;3
1;О новых поступлениях можно узнать в разделе 'Новинки' или подписавшись на рассылку.;3
1;Да, вы можете оформить заказ без регистрации.;3
1;Нет, регистрация необязательна, но даёт дополнительные бонусы.;3
1;Изменить данные можно в личном кабинете в разделе 'Профиль'.;3
1;Да, вы можете оформить заказ по телефону.;3
1;Да, у нас есть мобильное приложение для iOS и Android.;3
1;Да, мы можем зарезервировать товар на ограниченное время.;3
1;Наличие указано на странице товара.;3
1;Размер и цвет можно выбрать в параметрах товара перед заказом.;3
1;Да, на весь товар предоставляется гарантия в зависимости от производителя.;3
1;В нашем каталоге представлены как мировые, так и локальные бренды.;3
1;Да, можно оформить заказ в качестве подарка.;3
1;Да, у нас есть услуга подарочной упаковки.;3
1;Да, мы предлагаем программу лояльности с бонусами.;3
1;Бонусы начисляются за покупки и участие в акциях.;3
1;Бонусы можно использовать и во время распродажи, если не указано иное.;3
1;Да, вы можете отменить заказ, пока он не отправлен.;3
1;Свяжитесь с поддержкой для корректировки заказа.;3
1;Да, при условии, что оба заказа ещё не отправлены.;3
1;Да, прилагаются инструкции и рекомендации.;3
1;Да, можно оформить предзаказ на отсутствующий товар.;3
1;Да, мы предоставляем возможность просмотра в шоуруме.;3
1;Да, мы работаем с оптовыми клиентами.;3
1;Вы можете получить консультацию через чат или по телефону.;3
1;Обмен без чека возможен только при сохранении ярлыков и упаковки.;3
1;Да, мы ведём страницы в соцсетях с актуальной информацией.;3
2;Мы предлагаем доставку курьером, почтой и в пункты выдачи.;3
2;Да, есть доставка курьером.;3
2;Стоимость зависит от региона и веса заказа.;3
2;Бесплатная доставка доступна при выполнении условий акции.;3
2;Бесплатная доставка от суммы 3000 руб.;3
2;Способ доставки выбирается на этапе оформления заказа.;3
2;Доставляем по всей стране.;3
2;Да, возможна международная доставка.;3
2;Срок зависит от региона и выбранного способа доставки.;3
2;Да, можно выбрать удобную дату и время.;3
2;Возможна ускоренная доставка за доплату.;3
2;Отследить можно по трек-номеру в личном кабинете.;3
2;Свяжитесь с поддержкой для уточнения причин задержки.;3
2;Да, можно изменить адрес до передачи заказа в доставку.;3
2;Да, доставка возможна в пункты выдачи.;3
2;Мы сотрудничаем с несколькими транспортными компаниями.;3
2;Да, доставка доступна в выходные.;3
2;Возможен повторный заказ при утере на пункте выдачи.;3
2;Да, можно доставить на почтовое отделение.;3
2;Да, возможен наложенный платеж.;3
2;Да, доступен самовывоз.;3
2;Адрес пункта самовывоза указан на сайте.;3
2;Да, работаем в праздничные дни.;3
2;Свяжитесь с поддержкой для переноса времени.;3
2;Да, проверка возможна при получении.;3
2;Возврат можно оформить через службу доставки.;3
2;Да, перед отправкой можем сделать фото упаковки.;3
2;Да, доставляем крупногабаритные заказы.;3
2;Да, есть услуга экспресс-доставки.;3
2;Да, можно объединить несколько заказов в одну доставку.;3
3;Принимаем оплату картами, переводами и электронными системами.;3
3;Да, принимаем карты Visa и MasterCard.;3
3;Да, принимаем PayPal.;3
3;Да, доступна оплата через Apple Pay и Google Pay.;3
3;Да, можно оплатить при получении.;3
3;Комиссия зависит от банка или платёжной системы.;3
3;Да, возможна безналичная оплата для юрлиц.;3
3;Оплата банковским переводом возможна по реквизитам.;3
3;Да, мы предлагаем рассрочку.;3
3;Да, сотрудничаем с банками для оформления кредита.;3
3;Да, можно оплатить частично бонусами.;3
3;Чек отправляется на e-mail после оплаты.;3
3;Свяжитесь с банком или поддержкой, если оплата не прошла.;3
3;Да, способ оплаты можно изменить до отправки заказа.;3
3;Да, вы можете оплатить за другого человека.;3
3;Да, мы принимаем некоторые криптовалюты.;3
3;Да, можно оплатить через терминал.;3
3;Да, принимаем подарочные карты.;3
3;Введите промокод в специальное поле при оплате.;3
3;Обычно подтверждение проходит за несколько минут.;3
3;Да, мы возвращаем деньги при отмене заказа.;3
3;Срок возврата зависит от банка (1-7 дней).;3
3;Деньги возвращаются на ту же карту.;3
3;Свяжитесь с поддержкой для решения ситуации.;3
3;Да, можно оплатить частями.;3
3;Да, принимаем иностранную валюту.;3
3;Да, можно зарезервировать без полной предоплаты.;3
3;Статус оплаты можно проверить в личном кабинете.;3
3;Да, используем защищённые платёжные сервисы.;3
3;Счёт можно запросить у менеджера.;3
4;Вы можете связаться с нами по телефону, e-mail или в чате.;3
4;Да, у нас есть телефон горячей линии.;3
4;Поддержка работает с 9:00 до 21:00.;3
4;Да, на сайте есть онлайн-чат.;3
4;Да, можно написать нам на e-mail.;3
4;Наш e-mail: info@shop.ru;3
4;Да, отвечаем в популярных мессенджерах.;3
4;Доступны WhatsApp и Telegram.;3
4;Да, мы есть в Instagram и Facebook.;3
4;Ссылки на соцсети есть внизу сайта.;3
4;Да, можно получить консультацию в WhatsApp.;3
4;Да, отвечаем в Telegram.;3
4;Да, у нас есть офис.;3
4;Адрес офиса указан на сайте.;3
4;Да, вы можете приехать лично.;3
4;Запись не требуется, но желательно предупредить.;3
4;Да, есть отдел по работе с оптом.;3
4;Пишите в отдел рекламаций по e-mail support@shop.ru.;3
4;Отвечаем в течение 24 часов.;3
4;Да, на сайте есть форма обратной связи.;3
4;Да, можно заказать обратный звонок.;3
4;Обратный звонок в течение 15 минут.;3
4;Нет, ночью мы не работаем.;3
4;Да, есть отдельное VIP-обслуживание.;3
4;Да, можно связаться напрямую.;3
4;Пишите директору на director@shop.ru.;3
4;Да, у нас есть партнёрский отдел.;3
4;Да, принимаем предложения по сотрудничеству.;3
4;Пишите для прессы на press@shop.ru.;3
4;Отвечаем в соцсетях в течение 1-2 часов.;3
